frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
271,21,1152.9617308863503 803.5221392327923 1496.1502270653 1034.191178868111,1183.3406524658203 819.04833984375 1442.5761108398438 916.5887832641602,0
272,21,1153.6772874809026 806.9414511207679 1498.2162245109414 1036.9018022223142,1184.206906636556 822.7311706542969 1444.1542256673176 920.5667304992676,0
273,21,1154.3928440754548 810.3607630087436 1500.2822219565826 1039.6124255765174,1185.0731608072917 826.4140014648438 1445.7323404947917 924.544677734375,0
274,21,1155.108400670007 813.7800748967193 1502.348219402224 1042.3230489307205,1185.9394149780273 830.0968322753906 1447.3104553222656 928.5226249694824,0
275,21,1155.8239572645593 817.1993867846949 1504.4142168478652 1045.0336722849238,1186.805669148763 833.7796630859375 1448.8885701497395 932.5005722045898,0
276,21,1156.5395138591116 820.6186986726705 1506.4802142935066 1047.744295639127,1187.6719233194988 837.4624938964844 1450.4666849772136 936.4785194396973,0
277,21,1157.2550704536638 824.0380105606462 1508.546211739148 1050.45491899333,1188.5381774902344 841.1453247070312 1452.0447998046875 940.4564666748047,0
278,21,1157.970627048216 827.4573224486218 1510.6122091847892 1053.1655423475333,1189.40443166097 844.8281555175781 1453.6229146321614 944.4344139099121,0
279,21,1158.6861836427684 830.8766343365974 1512.6782066304306 1055.8761657017365,1190.2706858317058 848.510986328125 1455.2010294596355 948.4123611450195,0
280,21,1159.4017402373206 834.2959462245731 1514.744204076072 1058.5867890559396,1191.1369400024414 852.1938171386719 1456.7791442871094 952.390308380127,0
281,21,1160.1172968318729 837.7152581125488 1516.8102015217132 1061.297412410143,1192.003194173177 855.8766479492188 1458.3572591145833 956.3682556152344,0
282,21,1160.8328534264253 841.1345700005244 1518.8761989673546 1064.008035764346,1192.8694483439128 859.5594787597656 1459.9353739420574 960.3462028503418,0
283,21,1161.5484100209776 844.5538818885 1520.9421964129958 1066.718659118549,1193.7357025146484 863.2423095703125 1461.5134887695312 964.3241500854492,0
284,21,1162.2639666155299 847.9731937764757 1523.0081938586372 1069.4292824727522,1194.601956685384 866.9251403808594 1463.0916035970051 968.3020973205566,0
285,21,1162.979523210082 851.3925056644513 1525.0741913042787 1072.1399058269556,1195.4682108561199 870.6079711914062 1464.6697184244792 972.2800445556641,0
286,21,1163.6950798046344 854.811817552427 1527.1401887499198 1074.8505291811587,1196.3344650268555 874.2908020019531 1466.2478332519531 976.2579917907715,0
287,21,1164.4106363991866 858.2311294404026 1529.2061861955613 1077.5611525353618,1197.200719197591 877.9736328125 1467.825948079427 980.2359390258789,0
288,21,1165.1261929937389 861.6504413283783 1531.2721836412024 1080.271775889565,1198.066973368327 881.6564636230469 1469.4040629069011 984.2138862609863,0
289,21,1165.8417495882911 865.0697532163539 1533.3381810868439 1082.9823992437682,1198.9332275390625 885.3392944335938 1470.982177734375 988.1918334960938,0.5923934578895569
77,30,1115.6818438833025 650.4147594111892 1397.5167511428167 902.0152945531281,1142.2471923828125 654.4991455078125 1378.48291015625 736.37255859375,0.688957154750824
78,30,1115.86212376652 653.4722758693837 1399.1179957448169 905.6189121547245,1142.4452158610027 657.5377960205078 1379.6654307047527 739.7671127319336,0
79,30,1116.0424036497375 656.5297923275783 1400.719240346817 909.2225297563209,1142.6432393391926 660.5764465332031 1380.8479512532551 743.1616668701172,0
80,30,1116.222683532955 659.5873087857728 1402.3204849488172 912.8261473579172,1142.8412628173828 663.6150970458984 1382.0304718017578 746.5562210083008,0
81,30,1116.4029634161725 662.6448252439675 1403.9217295508174 916.4297649595136,1143.039286295573 666.6537475585938 1383.2129923502605 749.9507751464844,0
82,30,1116.58324329939 665.702341702162 1405.5229741528174 920.03338256111,1143.237309773763 669.6923980712891 1384.395512898763 753.345329284668,0
83,30,1116.7635231826075 668.7598581603565 1407.1242187548175 923.6370001627063,1143.4353332519531 672.7310485839844 1385.5780334472656 756.7398834228516,0
84,30,1116.943803065825 671.8173746185512 1408.7254633568177 927.2406177643027,1143.6333567301433 675.7696990966797 1386.7605539957683 760.1344375610352,0
85,30,1117.1240829490425 674.8748910767457 1410.326707958818 930.8442353658991,1143.8313802083333 678.808349609375 1387.9430745442708 763.5289916992188,0
86,30,1117.30436283226 677.9324075349404 1411.927952560818 934.4478529674955,1144.0294036865234 681.8470001220703 1389.1255950927734 766.9235458374023,0
87,30,1117.4846427154775 680.9899239931349 1413.5291971628183 938.0514705690919,1144.2274271647136 684.8856506347656 1390.3081156412761 770.3180999755859,0
88,30,1117.664922598695 684.0474404513294 1415.1304417648184 941.6550881706881,1144.4254506429036 687.9243011474609 1391.4906361897786 773.7126541137695,0
89,30,1117.8452024819126 687.104956909524 1416.7316863668186 945.2587057722845,1144.6234741210938 690.9629516601562 1392.6731567382812 777.1072082519531,0
90,30,1118.02548236513 690.1624733677186 1418.3329309688188 948.8623233738809,1144.821497599284 694.0016021728516 1393.855677286784 780.5017623901367,0
91,30,1118.2057622483476 693.2199898259132 1419.934175570819 952.4659409754772,1145.0195210774739 697.0402526855469 1395.0381978352864 783.8963165283203,0
92,30,1118.386042131565 696.2775062841077 1421.535420172819 956.0695585770736,1145.217544555664 700.0789031982422 1396.220718383789 787.2908706665039,0
93,30,1118.5663220147826 699.3350227423023 1423.136664774819 959.67317617867,1145.4155680338542 703.1175537109375 1397.4032389322917 790.6854248046875,0
94,30,1118.746601898 702.3925392004969 1424.7379093768193 963.2767937802664,1145.6135915120442 706.1562042236328 1398.5857594807942 794.0799789428711,0
95,30,1118.9268817812176 705.4500556586914 1426.3391539788195 966.8804113818628,1145.8116149902344 709.1948547363281 1399.7682800292969 797.4745330810547,0
96,30,1119.1071616644351 708.507572116886 1427.9403985808196 970.4840289834591,1146.0096384684246 712.2335052490234 1400.9508005777996 800.8690872192383,0
97,30,1119.2874415476526 711.5650885750806 1429.5416431828198 974.0876465850555,1146.2076619466145 715.2721557617188 1402.133321126302 804.2636413574219,0
98,30,1119.4677214308701 714.6226050332751 1431.14288778482 977.6912641866519,1146.4056854248047 718.3108062744141 1403.3158416748047 807.6581954956055,0
99,30,1119.6480013140877 717.6801214914698 1432.7441323868202 981.2948817882482,1146.6037089029949 721.3494567871094 1404.4983622233074 811.0527496337891,0
100,30,1119.8282811973052 720.7376379496643 1434.3453769888204 984.8984993898446,1146.8017323811848 724.3881072998047 1405.6808827718098 814.4473037719727,0
101,30,1120.0085610805227 723.795154407859 1435.9466215908205 988.502116991441,1146.999755859375 727.4267578125 1406.8634033203125 817.8418579101562,0
102,30,1120.1888409637404 726.8526708660535 1437.5478661928205 992.1057345930374,1147.1977793375652 730.4654083251953 1408.0459238688152 821.2364120483398,0
103,30,1120.369120846958 729.910187324248 1439.1491107948207 995.7093521946338,1147.3958028157551 733.5040588378906 1409.2284444173176 824.6309661865234,0
104,30,1120.5494007301754 732.9677037824426 1440.7503553968209 999.31296979623,1147.5938262939453 736.5427093505859 1410.4109649658203 828.025520324707,0
105,30,1120.729680613393 736.0252202406372 1442.351599998821 1002.9165873978264,1147.7918497721355 739.5813598632812 1411.593485514323 831.4200744628906,0
106,30,1120.9099604966104 739.0827366988317 1443.9528446008212 1006.5202049994228,1147.9898732503254 742.6200103759766 1412.7760060628254 834.8146286010742,0
